Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question320,"15. A reactor is supplied with two steams with equal flow rates, stream-1 containing 75% SO2, 25% N2 and stream-2 containing pure H2S, if the product has 1200 grams of S, and the ratio of H2S to H2O is 5 and the ratio of SO2 to H2S is 2, what is percentage of Sulfur in the product?","a)	23%","b)	47%","c)	61%","d)	84%",c,"Explanation: The reaction is 2H2S + SO2 -> 3S + H2O, => extent of reaction, E = (1200/32)/3 = 12.5, Let the rate be F. nSO2p = 2nH2Sp, => 0.75F Ð E = 2(F Ð 2E), => 1.25F = 3(12.5), => F = 30 moles. => Moles of SO2 = 0.75F Ð E = 10, moles of H2S = F Ð 2E = 5, moles of N2 = 7.5, moles of S = 37.5, moles of H2O = 1, => percentage of sulfur = 61%."
Question321,"1. A reactor is supplied with 5 moles each of CH3OH and O2, and the following reactions occur, CH3OH + 1/2O2 -> CH2O + H2O and then CH2O + 1/2O2 -> CO + H2O, the conversion of methanol is 80% in first reaction, and conversion of CH2O is 50% in second reaction. How many moles of CO are produced?","a)	1","b)	2","c)	3","d)	4",b,"Explanation: Extent of reaction E1 = (-0.8)/(-1) = 0.8, E2 = (-0.5)/(-1) = 0.5, => moles of CO = (0.8*5)*0.5 = 2."
Question322,"2. A reactor is supplied with 5 moles each of CH3OH and O2, and the following reactions occur, CH3OH + 1/2O2 -> CH2O + H2O and then CH2O + 1/2O2 -> CO + H2O, the conversion of methanol is 80% in first reaction, and conversion of CH2O is 50% in second reaction. How many moles of H2O are produced?","a)	2","b)	3","c)	5","d)	6",d,"Explanation: Extent of reaction E1 = (-0.8)/(-1) = 0.8, E2 = (-0.5)/(-1) = 0.5, => moles of H2O = (0.8*5) + (0.8*5)*0.5 = 6."
Question323,"3.  A reactor is supplied with 5 moles each of CH3OH and O2, and the following reactions occur, CH3OH + 1/2O2 -> CH2O + H2O and then CH2O + 1/2O2 -> CO + H2O, the conversion of methanol is 80% in first reaction, and conversion of CH2O is 50% in second reaction. How many moles of CH2O came out of the reactor?","a)	1","b)	2","c)	3","d)	4",b,"Explanation: Extent of reaction E1 = (-0.8)/(-1) = 0.8, E2 = (-0.5)/(-1) = 0.5, => moles of CH2O unreacted = 0.8*5 Ð (0.8*5)*0.5 = 2."
Question324,"4. A reactor is supplied with 5 moles each of CH3OH and O2, and the following reactions occur, CH3OH + 1/2O2 -> CH2O + H2O and then CH2O + 1/2O2 -> CO + H2O, the conversion of methanol is 80% in first reaction, and conversion of CH2O is 50% in second reaction. How many moles of O2 are there in the products?","a)	1.75","b)	2","c)	3.25","d)	5.5",a,"Explanation: Extent of reaction E1 = (-0.8)/(-1) = 0.8, E2 = (-0.5)/(-1) = 0.5, => moles of O2 = (2.5 Ð 2.5*0.8) + (2.5 Ð 2.5*0.5) = 1.75."
Question325,"5. A reactor is supplied with 5 moles each of CH3OH and O2, and the following reactions occur, CH3OH + 1/2O2 -> CH2O + H2O and then CH2O + 1/2O2 -> CO + H2O, the conversion of methanol is 80% in first reaction, and conversion of CH2O is 50% in second reaction. How many moles of CH3OH are there in the products?","a)	1","b)	2","c)	3","d)	4",a,"Explanation: Extent of reaction E1 = (-0.8)/(-1) = 0.8, E2 = (-0.5)/(-1) = 0.5, => moles of CH3OH = 5 Ð 5*0.8 = 1."
Question326,"6. A reactor is supplied with C6H12O6 and the following reactions occur C6H12O6 -> 2C2H5OH + 2CO2 and C6H12O6 Ð> 2C2H3CO2H + 2H2O, 360 grams of pure glucose is supplied and 44 grams of CO2 was produced, what 90 grams of glucose left unreacted, how many grams of propenoic acid was produced?","a)	18","b)	36","c)	72","d)	144",d,"Explanation: Weight of glucose reacted in first reaction = (44/44)*(1/2)*180 = 90 grams, => (360 Ð 90 Ð 90) = 180 grams of glucose reacted in second reaction, => weight of propenoic acid produced = 2*(180/180)*72 = 144 grams."
Question327,"7. A reactor is supplied with C6H12O6 and the following reactions occur C6H12O6 -> 2C2H5OH + 2CO2 and C6H12O6 Ð> 2C2H3CO2H + 2H2O, 360 grams of pure glucose is supplied and 44 grams of CO2 was produced, what 90 grams of glucose left unreacted, how many grams of ethanol was produced?","a)	23","b)	46","c)	92","d)	186",b,"Explanation: Moles of glucose reacted in first reaction = 90/180 = 0.5, => weight of ethanol produced = 2*0.5*46 = 46 grams."
Question328,"8. A reactor is supplied with C6H12O6 and the following reactions occur C6H12O6 -> 2C2H5OH + 2CO2 and C6H12O6 Ð> 2C2H3CO2H + 2H2O, 360 grams of pure glucose is supplied and 44 grams of CO2 was produced, what 90 grams of glucose left unreacted, how many grams of water was produced?","a)	9","b)	18","c)	36","d)	54",a,"Explanation: Weight of glucose reacted in first reaction = _*(66/44)*180 = 135 grams => Weight of glucose reacted in second reaction = 360 Ð 180 Ð 135 = 45 grams, => moles of water produced = 2*(45/180)*18 = 9 grams."
Question329,"9. A reactor is supplied with 5 moles of C4H10, and it undergoes following reactions C4H10 + 4H2O -> 4CO + 9H2 and C4H10 + 6.5O2 -> 4CO2 + 5H2O, if 8 moles of CO2 was produced and 2 moles of C4H10 remains unreacted, what are the number of moles of water produced?","a)	2","b)	5","c)	7.5","d)	10",d,"Explanation: Extent of second reaction = (8 Ð 0)/4 = 2, => moles of water produced = 5*2 = 10."
Question330,"10. A reactor is supplied with 5 moles of C4H10, and it undergoes following reactions C4H10 + 4H2O -> 4CO + 9H2 and C4H10 + 6.5O2 -> 4CO2 + 5H2O, if 8 moles of CO2 was produced and 2 moles of C4H10 remains unreacted, what are the number of moles of CO produced?","a)	1","b)	2","c)	3","d)	4",d,"Explanation: Extent of second reaction = (8 Ð 0)/4 = 2, => moles of C4H10 reacted in second reaction = 2*1 = 2, => moles of C4H10 reacted in first reaction = 5 Ð 2 Ð 2 = 1, => extent of first reaction = (0 Ð 1)/(-1) = 1, => moles of CO produced = 4*1 = 4."
Question331,"11. A reactor is supplied with 12 moles of C, and it undergoes following reactions C + 0.5O2 -> CO and C + O2 -> CO2, if 4 moles of CO2 was produced and 4 moles of C remains unreacted, what are the number of moles of CO produced?","a)	1","b)	2","c)	3","d)	4",d,"Explanation: Extent of second reaction = (4 Ð 0)/1 = 4, => moles of C reacted in second reaction = 4*1 = 4, => moles of C reacted in first reaction = 12 Ð 4 Ð 4 = 4, => extent of first reaction = (0 Ð 4)/(-1) = 4, => moles of CO produced = 4*1 = 4."
Question332,"12. A reactor is supplied with 15 moles of C, and it undergoes following reactions C + 0.5O2 -> CO and C + O2 -> CO2, if 8 moles of CO2 was produced and 3 moles of C remains unreacted, what are the number of moles of CO produced?","a)	1","b)	2","c)	3","d)	4",d,"Explanation: Extent of second reaction = (8 Ð 0)/1 = 8, => moles of C reacted in second reaction = 8*1 = 8, => moles of C reacted in first reaction = 15 Ð 8 Ð 3 = 4, => extent of first reaction = (0 Ð 4)/(-1) = 4, => moles of CO produced = 4*1 = 4."
Question333,"13. A reactor is supplied with 25 moles of C, and it undergoes following reactions C + 0.5O2 -> CO and C + O2 -> CO2, if 13 moles of CO2 was produced and 5 moles of C remains unreacted, what are the number of moles of CO produced?","a)	1","b)	3","c)	5","d)	7",d,"Explanation: Extent of second reaction = (13 Ð 0)/1 = 13, => moles of C reacted in second reaction = 13*1 = 13, => moles of C reacted in first reaction = 25 Ð 13 Ð 5 = 7, => extent of first reaction = (0 Ð 7)/(-1) = 7, => moles of CO produced = 7*1 = 7."
Question334,"14. A reactor is supplied with 20 moles of C, and it undergoes following reactions C + 0.5O2 -> CO and C + O2 -> CO2, if 10 moles of CO2 was produced and 5 moles of C remains unreacted, what are the number of moles of CO produced?","a)	1","b)	3","c)	5","d)	7",c,"Explanation: Extent of second reaction = (10 Ð 0)/1 = 10, => moles of C reacted in second reaction = 10*1 = 10, => moles of C reacted in first reaction = 20 Ð 10 Ð 5 = 5, => extent of first reaction = (0 Ð 5)/(-1) = 5, => moles of CO produced = 5*1 = 5."
Question335,"15. A reactor is supplied with 45 moles of C, and it undergoes following reactions C + 0.5O2 -> CO and C + O2 -> CO2, if 25 moles of CO2 was produced and 6 moles of C remains unreacted, what are the number of moles of CO produced?","a)	6","b)	9","c)	14","d)	17",c,"Explanation: Extent of second reaction = (25 Ð 0)/1 = 25, => moles of C reacted in second reaction = 25*1 = 25, => moles of C reacted in first reaction = 45 Ð 25 Ð 6 = 14, => extent of first reaction = (0 Ð 14)/(-1) = 14, => moles of CO produced = 14*1 = 14."
Question336,"1. A reactor supplied with CO2 and H2O, the product contains 10% H2CO3 and 90% H2O, what is the feed rate of CO2, if the rate of product is 50 mole?","a)	5 mole","b)	10 mole","c)	25 mole","d)	50 mole",a,"Explanation: The reaction is CO2 + H2O -> H2CO3. Let the rates of CO2 and H2O be F and W respectively. Element balances, C: F(1) = 0.1P(1), => 10F = P, => F = 5 mole."
Question337,"2. A reactor supplied with CO2 and H2O, the product contains H2O and H2CO3, if the rate of CO2 is 10 mole, what is the percentage of H2CO3 in products?","a)	10","b)	50","c)	75","d)	100",d,"Explanation: The reaction is CO2 + H2O -> H2CO3. Let the rate of CO2 and H2O and product be F and W respectively, and the fraction of H2CO3 in products be x. Element balances, C: F(1) = x*10(1), => F = 10x, => x = 1, => percentage of H2CO3 = 100%."
Question338,"3. A reactor supplied with CO2 and H2O, the product contains H2O and H2CO3, if the rate of H2O is 10 mole, what is the rate of products?","a)	5 mole","b)	10 mole","c)	15 mole","d)	20 mole",b,"Explanation: The reaction is CO2 + H2O -> H2CO3. Let the rate of products be P, and the fraction of H2CO3 in products be x, material balances, H: 10(2) = x*P(2) + (1 Ð x)*P(2), => P = 10 mole."
Question339,"4. A reactor supplied with CO2 and H2O, the product contains CO2, H2O and H2CO3, if the rate of products is 10 mole and percentage of CO2 in products is 20%, what is the feed rate of H2O?","a)	2 mole","b)	4 mole","c)	8 mole","d)	10 mole",c,"Explanation: The reaction is CO2 + H2O -> H2CO3. Let the rate of H2O be W, and percentage of H2O in products be x. Material balances, H: W(2) = x*10(2) + (1 Ð x Ð 0.2)*10(2), => W = 8 mole."
Question340,"5. A reactor supplied with CO2 and H2O, the product contains 40% CO2, 30% H2O and 30% H2CO3, what is the ratio of feed rate of CO2 and rate of products?","a)	0.3","b)	0.4","c)	0.7","d)	0.9",c,"Explanation: The reaction is CO2 + H2O -> H2CO3. Let the rate of CO2, H2O and H2CO3 be F, W and P respectively. Element balances, C: F(1) = 0.4P(1) + 0.3P(1), => F/P = 0.7."
Question341,"6. A reactor is supplied with Hexane and hydrogen to produce 20% methane, 30% propane and 50% butane, what is the ratio of hydrogen consumed and the hexane reacted?","a)	0.21","b)	0.45","c)	0.59","d)	0.73",d,"Explanation: The reaction is 2C6H14 + 2H2 -> CH4 + 2C3H8 + C5H12, Let the rate of Hexane, hydrogen and products be F, W and P respectively. Element balances, C: 2F(6) = 0.2P(1) + 2*0.3P(3) + 0.5P(5), => 8F = 3P, H: 2F(14) + 2W(2) = 0.2P(4) + 2*0.3P(8) + 0.5P(12), => 7F + W = 2.9P, => W/F= 2.2/3 = 0.73."
Question342,"7.  A reactor is supplied with 10 mole of Hexane and some hydrogen to produce 20% methane, 30% propane and 50% butane, what is the rate of products?","a)	10 mole","b)	16.6 mole","c)	26.6 mole","d)	40 mole",c,"Explanation: The reaction is 2C6H14 + 2H2 -> CH4 + 2C3H8 + C5H12, Let the rate of products be P. Element balance, C: 2*10(6) = 0.2P(1) + 2*0.3P(3) + 0.5P(5), => 120 = 4.5P, => P = 26.6 mole."
Question343,"8. A reactor is supplied with glucose and oxygen to produce 40% CO2, 60% H2O, what is the ratio of glucose reacted and products?","a)	0.2","b)	0.4","c)	0.6","d)	0.8",b,"Explanation: The reaction is C6H12O6 + 6O2 -> 6CO2 + 6H2O, Let the rate of glucose and products be F and P, Element balances, C: F(6) = 6*0.4P(1), => F/P = 0.4."
Question344,"9. A reactor is supplied with 10 moles glucose and excess oxygen to produce 40% CO2, 60% H2O, what is the rate of products?","a)	25 mole","b)	50 mole","c)	75 mole","d)	100 mole",a,"Explanation: The reaction is C6H12O6 + 6O2 -> 6CO2 + 6H2O, Let the rate of products be P. Element balances, C: 10(6) = 6*0.4P(1), => P = 25 mole."
Question345,"10. A reactor is supplied with 10 moles glucose and excess oxygen to produce CO2 and H2O, if the rate of products is 25 moles, what is the percentage of CO2 in the products?","a)	0.1","b)	0.2","c)	0.3","d)	0.4",d,"Explanation: The reaction is C6H12O6 + 6O2 -> 6CO2 + 6H2O. Let the fraction of CO2 be x, Element balances, C: 10(6) = 6*x*5(1), => x = 0.4."
Question346,"11. Ethane is supplied at the rate F with oxygen at the rate W and leaves the following products CO2, H2O, O2, C2H6 and H2 at the rate P. How many independent element balances are possible?","a)	1","b)	2","c)	3","d)	4",c,"Explanation: The reaction is C2H6 + 3.5O2 -> 2CO2 + 3H2O, since there are three elements C, H and O, we can write 3 independent material balances."
Question347,"12. Ethane is supplied with chlorine in a reactor, how many independent element balances can you write?","a)	1","b)	2","c)	3","d)	4",c,"Explanation: The reaction is C2H6 + Cl2 -> C2H5Cl + HCl, Element balance C: 2F = 2xP, H: 6F = 5xP + (1 Ð x)P, Cl: 2W = xP + (1 Ð x)P, => The equations are F = xP, 6F = 4xP + P, and 2W = P, which are independent."
Question348,"13. A reactor is supplied with 2 streams both at same rates, one has pure Cl2, and another has pure C2H6, if the product has 20% C2H5Cl and 80% HCl, what is the ratio of rate of feed and rate of product?","a)	0.2","b)	0.5","c)	2","d)	5",a,"Explanation: The reaction is C2H6 + Cl2 -> C2H5Cl + HCl, Let the rate of feed and products be F and P respectively. Element balances, C: F(2) = 0.2P(2), => F/P = 0.2."
Question349,"14. A reactor is supplied with 2 streams both at same rates, one has pure Cl2, and another has pure C2H6, if the product has 20% C2H5Cl and 50% HCl and 30% C2H6, what is the ratio of rate of feed and rate of product?","a)	0.2","b)	0.5","c)	2","d)	5",b,"Explanation: The reaction is C2H6 + Cl2 -> C2H5Cl + HCl, Let the rate of feed and products be F and P respectively. Element balances, C: F(2) Ð 0.3P(2) = 0.2P(2), => F/P = 0.5."
Question350,"15. A reactor is supplied with 2 streams both at the rate 5 mole, one has 40% Cl2 and 60% N2, and another has pure C2H6, if the product has C2H5Cl, HCl and N2 at the rate 20 mole, what is the percentage of HCl in products?","a)	10%","b)	15%","c)	25%","d)	30%",b,"Explanation: The reaction is C2H6 + Cl2 -> C2H5Cl + HCl, Let the fraction of C2H5Cl, HCl and N2 be x, y and (1 Ð x Ð y) respectively. Element balances, Cl: 0.4*5(2) = x*10(1) + y*10(1), => x + y = 0.4, C: 5(2) = x*20(2), => x = 0.25, => y = 0.4 Ð 0.25 = 0.15, => percentage of HCl = 15%."
Question351,"1. What is the percentage of excess air, if 10 moles of air entered the process and only 5 moles of that are required?","a)	10%","b)	50%","c)	75%","d)	100%",d,Explanation: Percentage of excess air = 100*(10 Ð 5)/5 = 100%.
Question352,2. What is the percentage of excess air if 50 grams of air is in excess and 150 grams of air enters the process?,"a)	10%","b)	25%","c)	50%","d)	100%",c,Explanation: Percentage of excess air = 100*50/(150 Ð 50) = 50%.
Question353,"3. 10 moles of ethane is supplied with 49 moles of oxygen, what is the percentage of excess oxygen?","a)	20%","b)	40%","c)	50%","d)	70%",b,"Explanation: The balanced reaction is C2H6 + 3.5O2 -> 2CO2 + 3H2O, => O2 required = 3.5*10 = 35 moles, => percentage of excess oxygen = 100*(49 Ð 35)/35 = 40%."
Question354,"4. The extent of a reaction is 10, and the stoichiometric coefficient of O2 is 2.5, if the moles of O2 entering the process is 45, what is the percentage of excess air?","a)	20%","b)	40%","c)	60%","d)	80%",d,"Explanation: Moles of O2 required = 10*2.5 = 25, => Percentage of excess air = 100*(45 Ð 25)/25 = 80%."
Question355,"5. 144 grams of C5H12 is burnt with 64 grams O2, and 44 grams of CO2 is formed, what is the percentage of excess O2?","a)	25%","b)	50%","c)	75%","d)	100%",a,"Explanation: The balanced chemical reaction is C5H12 + __2 -> 5CO2 + 6H2O, => Extent of reaction = (44/44 Ð 0)/5 = 0.2. Moles of O2 entered the process = 64/32 = 2, Moles of O2 required = 0.2*8 = 1.6, => Percentage of excess oxygen = 100*(2 Ð 1.6)/1.6 = 25%."
Question356,"6. Ethene is burnt with 50% of excess air, what is the percentage of CO2 in the products?","a)	11.11%","b)	36.36%","c)	66.66%","d)	72.72%",b,"Explanation: The reaction is C2H4 + 3O2 -> 2CO2 + 2H2O. Basis: 10 moles of C2H4, => moles of O2 reacted = 30, => moles of O2 entered the process = 45, => moles of CO2, H2O and O2 in products are 20, 20 and 15 respectively, => percentage of CO2 = 20/55*100 = 36.36%."
